Black People Killed by Police (2013-2015)
3
2
0
3
5
3
2
1
22
5
4
6
0
0
8
2
39
0
7
6
0
19
0
10
0
2
2
2
4
4
0
1
2
1
1
0
1
0
24
12
0
1
13
3
7
0
3
1
1
5
19
6
0
2
10
0
3
9
3
3
5
35
1
7
2
6
15
4
7
9
5
3
0
0
3
2
2
2
2
6
0
1
3
1
1
1
2
1
17
3
2
2
1
2
2
4
2
11
1
2
