All People Killed by Police (2013-2015)
15
8
6
5
7
11
17
16
26
5
5
7
0
2
11
2
55
1
10
6
3
23
3
28
17
9
5
11
6
15
3
16
4
5
2
5
3
8
43
23
0
4
21
3
14
4
27
3
3
16
79
9
3
6
17
12
6
10
5
7
8
57
3
11
5
8
31
13
15
20
59
5
0
7
4
8
6
3
9
26
9
20
14
12
11
6
15
8
19
10
9
14
6
4
17
11
3
13
7
3
