Black
14878
8209
15308
67087
224316
49003
60760
26677
392938
124542
155258
138073
97637
10580
252007
65204
872286
9972
132307
208208
24391
217694
11912
294159
58388
586573
92285
18155
38514
136941
6743
37885
32164
12766
108233
12471
6066
4642
485956
223053
3494
25550
247516
59060
135916
478
62008
42336
9541
59925
347380
135138
18744
16507
408075
14101
64993
233325
69971
169272
204866
1861295
138074
102452
41561
106637
85744
55128
63584
644287
86788
78847
19199
35462
115976
5990
19917
83346
64967
83365
29897
82497
46781
27508
3177
3484
47113
4643
156389
43620
57489
33507
83032
76820
23362
61230
83210
301053
42676
78065
