Violent crime
4934
1101
2605
1854
5577
1448
3581
1678
8346
2120
3369
4749
3174
466
5054
991
24089
612
2695
5186
2039
4563
2094
8457
3983
13616
1834
2671
816
4420
284
2382
644
905
1346
452
782
2605
22008
10768
120
512
5853
1381
5862
976
12876
1041
918
2304
19171
4005
2084
846
11399
2119
4473
8864
4093
7270
3770
50564
3008
1280
1782
6910
4782
2458
2340
15925
8749
2455
459
2911
1683
1147
1384
1765
2968
7704
2128
5214
6761
3242
1260
337
4001
1156
5348
1974
2169
3988
2080
3068
3368
3217
660
7810
3065
1696
